Customer_ID,Country,Purchase_Frequency,Average_Order_Value,Last_Purchase_Days_Ago,Membership_Level,Total_Spend
100000,India,30,1808.15,189,Gold,54244.5
100001,Japan,36,793.06,169,Bronze,28550.16
100002,Germany,76,1772.09,323,Bronze,134678.84
100003,Japan,99,806.95,319,Bronze,79888.05
100004,Japan,98,96.14,237,Bronze,9421.72
100005,UK,68,1481.15,227,Bronze,100718.2
100006,Germany,88,1841.88,168,Bronze,162085.44
100007,Germany,36,524.43,156,Bronze,18879.48
100008,Germany,58,1094.12,357,Silver,63458.96
100009,Japan,28,1619.08,57,Gold,45334.24
100010,India,39,655.75,352,Silver,25574.25
100011,Germany,66,586.63,321,Bronze,38717.58
100012,UAE,43,833.91,194,Bronze,35858.13
100013,Japan,5,1110.14,231,Silver,5550.7
100014,UK,92,1114.02,82,Bronze,102489.84
100015,India,13,982.98,106,Bronze,12778.74
100016,UAE,9,1644.27,253,Silver,14798.43
100017,UAE,94,322.78,76,Silver,30341.32
100018,UK,57,188.62,47,Silver,10751.34
100019,India,27,353.75,141,Silver,9551.25
100020,Japan,61,1413.93,161,Silver,86249.73
100021,USA,77,307.58,316,Silver,23683.66
100022,India,50,659.2,196,Gold,32960.0
100023,UK,92,1761.77,172,Bronze,162082.84
100024,UAE,82,297.65,3,Silver,24407.3
100025,Japan,34,1065.78,175,Bronze,36236.52
100026,India,85,1021.96,233,Bronze,86866.6
100027,USA,65,87.41,105,Platinum,5681.65
100028,USA,45,248.52,199,Silver,11183.4
100029,Germany,87,1901.78,136,Bronze,165454.86
100030,Germany,34,1922.83,306,Silver,65376.22
100031,UK,73,1751.82,126,Bronze,127882.86
100032,India,8,875.08,120,Bronze,7000.64
100033,India,94,1194.02,25,Gold,112237.88
100034,UAE,48,1651.82,134,Gold,79287.36
100035,UAE,36,1358.77,34,Gold,48915.72
100036,UAE,82,1792.36,76,Platinum,146973.52
100037,Germany,66,645.17,290,Bronze,42581.22
100038,India,11,1255.82,32,Silver,13814.02
100039,India,52,1142.74,145,Bronze,59422.48
100040,USA,36,1969.5,207,Silver,70902.0
100041,Germany,95,1758.59,362,Silver,167066.05
100042,Japan,31,347.08,78,Silver,10759.48
100043,Germany,24,136.61,56,Bronze,3278.64
100044,Japan,21,903.88,155,Bronze,18981.48
100045,USA,96,1100.12,336,Bronze,105611.52
100046,UK,30,1583.94,283,Silver,47518.2
100047,India,72,336.26,50,Bronze,24210.72
100048,USA,97,1841.46,15,Silver,178621.62
100049,India,64,1151.74,210,Platinum,73711.36
100050,UAE,39,1688.64,235,Silver,65856.96
100051,UK,1,1676.22,189,Gold,1676.22
100052,UK,97,1904.69,61,Bronze,184754.93
100053,USA,42,1324.3,18,Silver,55620.6
100054,UK,77,1571.97,64,Bronze,121041.69
100055,Japan,86,1644.64,56,Bronze,141439.04
100056,UK,5,946.87,227,Bronze,4734.35
100057,India,12,875.91,111,Silver,10510.92
100058,India,29,1894.3,269,Silver,54934.7
100059,India,3,152.6,324,Bronze,457.8
100060,India,61,1906.83,203,Gold,116316.63
100061,Japan,51,1165.4,150,Bronze,59435.4
100062,Germany,36,603.47,319,Bronze,21724.92
100063,UAE,75,1123.26,163,Bronze,84244.5
100064,USA,90,1282.83,327,Bronze,115454.7
100065,India,2,239.36,150,Bronze,478.72
100066,UK,29,1346.45,40,Silver,39047.05
100067,India,41,1807.11,51,Bronze,74091.51
100068,UK,29,1943.16,185,Bronze,56351.64
100069,UAE,64,1207.58,348,Bronze,77285.12
100070,UAE,58,667.55,212,Bronze,38717.9
100071,UAE,83,1135.68,165,Silver,94261.44
100072,UK,10,25.64,87,Gold,256.4
100073,India,11,1840.09,350,Silver,20240.99
100074,UAE,7,1573.59,21,Silver,11015.13
100075,Japan,77,349.55,110,Gold,26915.35
100076,UK,61,1226.55,265,Bronze,74819.55
100077,UK,66,60.79,113,Bronze,4012.14
100078,India,94,447.76,167,Bronze,42089.44
100079,UK,86,356.62,182,Gold,30669.32
100080,UK,53,329.18,91,Platinum,17446.54
100081,UAE,65,1113.16,284,Bronze,72355.4
100082,India,27,1929.56,318,Gold,52098.12
100083,UAE,7,278.07,282,Bronze,1946.49
100084,UAE,65,1748.18,208,Bronze,113631.7
100085,India,58,182.87,227,Silver,10606.46
100086,USA,25,184.03,218,Bronze,4600.75
100087,UAE,48,1263.59,356,Silver,60652.32
100088,Japan,4,1157.52,296,Silver,4630.08
100089,Japan,94,701.57,346,Gold,65947.58
